min_n_rule,cut_obs,cut_after_date,next_start_date,left_alpha,left_t,left_p,left_n,right_alpha,right_t,right_p,right_n,worst_p,min_alpha,all_positive_sig
40,131,2025-10-21,2025-10-22,0.1725821106975817,2.7080038375712085,0.006768923970755226,131,0.1489650117318046,1.2147896001534642,0.22444634835991473,88,0.22444634835991473,0.1489650117318046,False
40,132,2025-10-22,2025-10-23,0.1702929610409288,2.727678337725406,0.0063781769949390055,132,0.15146062585330572,1.2155584347379285,0.2241531760412665,87,0.2241531760412665,0.15146062585330572,False
40,133,2025-10-23,2025-10-24,0.16056807284238006,2.5070312840677107,0.012174993549666393,133,0.15715346095109958,1.257326462106467,0.2086354456608649,86,0.2086354456608649,0.15715346095109958,False
40,134,2025-10-24,2025-10-27,0.17119677592012986,2.7532697792826513,0.0059003252556725115,134,0.1477314666888707,1.1859444618295438,0.23564423300144788,85,0.23564423300144788,0.1477314666888707,False
40,135,2025-10-27,2025-10-28,0.17882764826101163,2.8981873004979386,0.00375326371551507,135,0.12821804908346443,1.0116765946946826,0.31169270994012055,84,0.31169270994012055,0.12821804908346443,False
40,136,2025-10-28,2025-10-29,0.1871339466326256,3.0405007725976123,0.002361850856560699,136,0.12085791298089096,0.9212897834062104,0.35689915367377756,83,0.35689915367377756,0.12085791298089096,False
40,137,2025-10-29,2025-10-30,0.19885148760199745,3.15075019950599,0.0016285170732960339,137,0.11062155680867726,0.8014658687979239,0.42286199564437277,82,0.42286199564437277,0.11062155680867726,False
40,138,2025-10-30,2025-10-31,0.2039517064699291,3.1393872533804137,0.001693015500237376,138,0.11155164706229649,0.799737668518307,0.42386280354345496,81,0.42386280354345496,0.11155164706229649,False
40,139,2025-10-31,2025-11-03,0.20347357635417165,3.134229508159977,0.001723060307016793,139,0.11579385459603614,0.8232540326022142,0.4103635479338099,80,0.4103635479338099,0.11579385459603614,False
40,140,2025-11-03,2025-11-04,0.20395085141758965,3.1642141525020064,0.0015550232919556047,140,0.12708747229552506,0.9060718168378018,0.36489784138400383,79,0.36489784138400383,0.12708747229552506,False
40,141,2025-11-04,2025-11-05,0.18580042510533493,2.9362346613941757,0.0033222290119146103,141,0.14637883534852053,1.0380544529573377,0.2992447046600992,78,0.2992447046600992,0.14637883534852053,False
40,142,2025-11-05,2025-11-06,0.1747415763648706,2.6674062568881847,0.007643921028889165,142,0.1437880328031554,1.0264364361178366,0.3046859108153208,77,0.3046859108153208,0.1437880328031554,False
40,143,2025-11-06,2025-11-07,0.18600245221912487,2.927539168390981,0.003416560237210026,143,0.13842302061777328,0.962736748304495,0.3356796499915049,76,0.3356796499915049,0.13842302061777328,False
40,144,2025-11-07,2025-11-10,0.16956392267413534,2.553771149000553,0.010656327081127574,144,0.1845691758087639,1.2881863421989233,0.19768110510842052,75,0.19768110510842052,0.16956392267413534,False
40,145,2025-11-10,2025-11-11,0.17255846878652034,2.657079795974072,0.007882078388438352,145,0.1747508573868028,1.1958305605621418,0.23176268741938988,74,0.23176268741938988,0.17255846878652034,False
40,146,2025-11-11,2025-11-12,0.17784051699193695,2.765391327543028,0.005685454527638034,146,0.1554667287602773,1.0456901363944342,0.2957041182563268,73,0.2957041182563268,0.1554667287602773,False
40,147,2025-11-12,2025-11-13,0.1809886126317172,2.814746210752927,0.004881576795726858,147,0.14950570262175017,0.9799441803020055,0.32711367307147354,72,0.32711367307147354,0.14950570262175017,False
40,148,2025-11-13,2025-11-14,0.17470808322756062,2.78224009316424,0.005398508625604322,148,0.1618267497901785,1.0420860770461056,0.29737177303148865,71,0.29737177303148865,0.1618267497901785,False
40,149,2025-11-14,2025-11-17,0.1590617902972326,2.4354523015167717,0.014873185368071739,149,0.2318093699119704,1.5411627409774866,0.12327718307543531,70,0.12327718307543531,0.1590617902972326,False
40,150,2025-11-17,2025-11-18,0.16387849014927286,2.5775931473120943,0.00994910627312791,150,0.22933657964942905,1.4520096190822782,0.14649893064413613,69,0.14649893064413613,0.16387849014927286,False
40,151,2025-11-18,2025-11-19,0.16426929018743378,2.5819753842269573,0.00982365915155668,151,0.23719308146209345,1.4544376098207914,0.14582501912747006,68,0.14582501912747006,0.16426929018743378,False
40,152,2025-11-19,2025-11-20,0.16204784375871134,2.570688640593738,0.010149653301931722,152,0.24252132962751669,1.4551854385336422,0.14561793101927312,67,0.14561793101927312,0.16204784375871134,False
40,153,2025-11-20,2025-11-21,0.211035020697758,2.798952980061485,0.005126860249335906,153,0.14194807635132706,0.9823112303135537,0.32594654357719755,66,0.32594654357719755,0.14194807635132706,False
40,154,2025-11-21,2025-11-24,0.17932520660914253,2.716091184025799,0.006605772168560692,154,0.1647755897239837,1.1384880990338575,0.2549167255168836,65,0.2549167255168836,0.1647755897239837,False
